BRAND, MODEL, TYPE, LINK,image_url
Boss,SL-2 Slicer,['Loop Pedals and Samplers'],https://reverb.com/p/boss-sl-2-slicer,https://rvb-img.reverb.com/image/upload/s--PradhfYN--/t_card-square/v1667315408/oofhku1ckncjfj2xygtm.png
Boss, RC-5 Loop Station,['Loop Pedals and Samplers'],https://reverb.com/p/boss-rc-5-loop-station,https://rvb-img.reverb.com/image/upload/s--IjZh96xl--/t_card-square/v1601563812/hfmozbuhyscgljeoxtpy.jpg
Boss,MT-2 Metal Zone (Silver Label),['Distortion Pedals'],https://reverb.com/p/boss-mt-2-metal-zone,https://rvb-img.reverb.com/image/upload/s--V-0ssVJH--/t_card-square/v1487719503/e2f6igdvsveiuewrzwak.jpg
Boss,BD-2W Blues Driver Waza Craft,['Overdrive and Boost Pedals'],https://reverb.com/p/boss-bd-2w-blues-driver-waza-craft,https://rvb-img.reverb.com/image/upload/s--pg_i2C19--/t_card-square/v1486660507/tvem48gywzzgw29ka0hv.jpg
Boss,DD-500 Delay,['Delay Pedals'],https://reverb.com/p/boss-dd-500-digital-delay,"https://rvb-img.reverb.com/image/upload/s--PvkU_aBo--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1510260689/qeevcx9baxs0qylbh5ly.jpg"
Boss,BF-3 Flanger (Dark Gray Label),['Flanger Pedals'],https://reverb.com/p/boss-bf-3-flanger,https://rvb-img.reverb.com/image/upload/s--cN4Qsut3--/t_card-square/v1486660566/wwejerylmzspumfwrjml.jpg
Boss,RC-3 Loop Station,['Loop Pedals and Samplers'],https://reverb.com/p/boss-rc-3-loop-station,https://rvb-img.reverb.com/image/upload/s--Zrrv92ZC--/t_card-square/v1621865865/d20xq4tpoqwijlvypwcp.jpg
Boss,DD-8 Digital Delay,['Delay Pedals'],https://reverb.com/p/boss-dd-8-digital-delay,https://rvb-img.reverb.com/image/upload/s--iHF28_Sd--/t_card-square/v1572637265/wsz8829kibljz6tgoxmc.jpg
Caroline Guitar Company,Somersault Lo-Fi Modulator,['Chorus and Vibrato'],https://reverb.com/p/caroline-guitar-company-somersault-lo-fi-modulator,https://rvb-img.reverb.com/image/upload/s--fYVBQvgX--/t_card-square/v1562882998/tegua2gaujlmereczyir.jpg
Caroline Guitar Company,Meteore Lo-Fi Reverb,['Reverb Pedals'],https://reverb.com/p/caroline-guitar-company-meteore-lo-fi-reverb,https://rvb-img.reverb.com/image/upload/s--bSPmT-N2--/t_card-square/v1685733186/tjpqsfnzddizdhiihelq.png
Caroline Guitar Company,Shigeharu Fuzz,['Fuzz Pedals and Effects'],https://reverb.com/p/caroline-guitar-company-shigeharu-fuzz,https://rvb-img.reverb.com/image/upload/s--KFdDE-x1--/t_card-square/v1685733674/dnz5sx39xtq7lvd3vvxl.png
Caroline Guitar Company,Hawaiian Pizza Fuzz,['Fuzz Pedals and Effects'],https://reverb.com/p/caroline-guitar-company-hawaiian-pizza-fuzz,https://rvb-img.reverb.com/image/upload/s--t3SXiLSo--/t_card-square/v1539805925/clijptk0jvfhshn3btsc.jpg
Caroline Guitar Company,Arigato Phaser / Vibrato,"['Chorus and Vibrato', 'Phaser Pedals']",https://reverb.com/p/caroline-guitar-company-arigato-phaser-slash-vibrato,https://rvb-img.reverb.com/image/upload/s--wcMJ5KL0--/t_card-square/v1668094106/pj9d7o5egecn7fobytcl.png
Caroline Guitar Company,Kilobyte,['Delay Pedals'],https://reverb.com/p/caroline-guitar-company-kilobyte,https://rvb-img.reverb.com/image/upload/s--Rnbo5_ep--/t_card-square/v1685732792/yex2fuuoc0tkwgsy9fvv.png
Caroline Guitar Company,Megabyte Lofi Delay,['Delay Pedals'],https://reverb.com/p/caroline-guitar-company-megabyte-lofi-delay,https://rvb-img.reverb.com/image/upload/s--ngtP4TjX--/t_card-square/v1685733003/eu10qereyfxerojliprm.png
Caroline Guitar Company,CROM,"['Distortion Pedals', 'Fuzz Pedals and Effects']",https://reverb.com/p/caroline-guitar-company-crom,https://rvb-img.reverb.com/image/upload/s--T5-Nc-wd--/t_card-square/v1685731647/x91lsvfjgkxxmpqp6vsv.png
Caroline Guitar Company,Parabola Solid State Tremolo,['Tremolo Pedals'],https://reverb.com/p/caroline-guitar-company-parabola-solid-state-tremolo,https://rvb-img.reverb.com/image/upload/s--DsFRQ6Rm--/t_card-square/v1685733562/tewqapmtzjjhp7ez9cxh.png
Caroline Guitar Company,Wave Cannon MkII,['Distortion Pedals'],https://reverb.com/p/caroline-guitar-company-wave-cannon-mkii,https://rvb-img.reverb.com/image/upload/s--ECLupg7L--/t_card-square/v1685734382/aceudips38rczfezm7r0.png
Caroline Guitar Company,Icarus Boost,['Overdrive and Boost Pedals'],https://reverb.com/p/caroline-guitar-company-icarus-boost,https://rvb-img.reverb.com/image/upload/s--WOXbN7yp--/t_card-square/v1685732334/plwdncqcuukccnvezg7f.png
Caroline Guitar Company,Haymaker,"['Distortion Pedals', 'Overdrive and Boost Pedals']",https://reverb.com/p/caroline-guitar-company-haymaker,https://rvb-img.reverb.com/image/upload/s--J9Zf-sSK--/t_card-square/v1685731851/z7lzsuxw02ivcxykjepj.png
Caroline Guitar Company,Wave Cannon,"['Distortion Pedals', 'Fuzz Pedals and Effects']",https://reverb.com/p/caroline-guitar-company-wave-cannon,https://rvb-img.reverb.com/image/upload/s--fEXOExFm--/t_card-square/v1685734221/em95wivneqlbarvbqvvb.png
Caroline Guitar Company,Cannonball,"['Distortion Pedals', 'Fuzz Pedals and Effects']",https://reverb.com/p/caroline-guitar-company-cannonball,https://rvb-img.reverb.com/image/upload/s--YcE2bW8D--/t_card-square/v1685731538/w3rlvpkd2wnxe1gqiicf.png
Caroline Guitar Company,ICARUS V2 Run 1 with D310 Diodes,['Overdrive and Boost Pedals'],https://reverb.com/p/caroline-guitar-company-icarus-v2-run-1-with-d310-diodes,https://rvb-img.reverb.com/image/upload/s--ShExmNlV--/t_card-square/v1685732629/tv9dnrgazojj9ko0ospx.png
Catalinbread,Belle Epoch EP3 Tape Echo Emulation,['Delay Pedals'],https://reverb.com/p/catalinbread-belle-epoch-ep3-tape-echo-emulation,https://rvb-img.reverb.com/image/upload/s--sdlCBJ26--/t_card-square/v1621904644/chyabqjarcoxbwlvrqfe.jpg
Catalinbread,Belle Epoch Deluxe CB3 Dual Tape Echo Emulation,['Delay Pedals'],https://reverb.com/p/catalinbread-belle-epoch-deluxe-cb3-dual-tape-echo-emulation,https://rvb-img.reverb.com/image/upload/s--EipmcgI3--/t_card-square/v1553716890/zoiywbic3szxassfrzdh.jpg
Catalinbread,Soft Focus Reverb,['Reverb Pedals'],https://reverb.com/p/catalinbread-soft-focus-reverb,https://rvb-img.reverb.com/image/upload/s--VT9vv0QU--/t_card-square/v1662500081/gufxff1oyiphui8xlxdd.jpg
Catalinbread,Dirty Little Secret Licario Limited Edition,"['Distortion Pedals', 'Overdrive and Boost Pedals']",https://reverb.com/p/catalinbread-dirty-little-secret-mkiii,https://rvb-img.reverb.com/image/upload/s--5h4IC00G--/t_card-square/v1676666685/ukltlma3njryo3cyeumi.png
Catalinbread,Echorec,['Delay Pedals'],https://reverb.com/p/catalinbread-echorec,https://rvb-img.reverb.com/image/upload/s--xyY_Gmca--/t_card-square/v1465588579/uerkmvjly5euzad325ar.jpg
Catalinbread,Naga Viper Treble Booster,['Overdrive and Boost Pedals'],https://reverb.com/p/catalinbread-naga-viper-treble-booster,https://rvb-img.reverb.com/image/upload/s--uYTi7WLY--/t_card-square/v1497295262/jcgpvzwhhf2kg09czqeh.jpg
Catalinbread,Topanga,['Reverb Pedals'],https://reverb.com/p/catalinbread-topanga-2010s-graphic,"https://rvb-img.reverb.com/image/upload/s--AxH3fP_x--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1460392669/fhgfdjgxhrg7zvfupato.jpg"
Catalinbread,Talisman,['Reverb Pedals'],https://reverb.com/p/catalinbread-talisman,https://rvb-img.reverb.com/image/upload/s--LmS0YlU1--/t_card-square/v1677621687/wl0s00hkod6ajocbqzfh.png
Catalinbread,Sabbra Cadabra,['Overdrive and Boost Pedals'],https://reverb.com/p/catalinbread-sabbra-cadabra,"https://rvb-img.reverb.com/image/upload/s--zOGg69nR--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1440529929/gukwn2rxq8zc0x228udp.jpg"
Catalinbread,Epoch Boost Preamp/Buffer,"['Buffer', 'Overdrive and Boost Pedals']",https://reverb.com/p/catalinbread-epoch-boost-preamp-slash-buffer,https://rvb-img.reverb.com/image/upload/s--afAXLsGd--/t_card-square/v1599835645/gj6rpo0o1n5kwwvpc8wz.jpg
Catalinbread,Formula 55,['Overdrive and Boost Pedals'],https://reverb.com/p/catalinbread-formula-55,"https://rvb-img.reverb.com/image/upload/s--NnEGfuwT--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1486652132/yecz2u2stfyhdvvcu6z6.jpg"
Catalinbread,RAH Royal Albert Hall,"['Distortion Pedals', 'Overdrive and Boost Pedals']",https://reverb.com/p/catalinbread-rah,https://rvb-img.reverb.com/image/upload/s--wnYYjQ-4--/t_card-square/v1435851728/r08vhiwgs9yyithupdvf.jpg
Catalinbread,Formula 5F6,['Overdrive and Boost Pedals'],https://reverb.com/p/catalinbread-formula-5f6,https://rvb-img.reverb.com/image/upload/s--4i83CIbD--/t_card-square/v1558794652/zpuvwlgji8uqdmmhkkmi.jpg
Catalinbread,Adineko Oil Can Delay,['Delay Pedals'],https://reverb.com/p/catalinbread-adineko-oil-can-delay-pedal,https://rvb-img.reverb.com/image/upload/s--B1ZGYqcS--/t_card-square/v1630426665/qtpmvixjp69nrjuhj4oq.jpg
Catalinbread,Many Worlds Phaser,['Phaser Pedals'],https://reverb.com/p/catalinbread-many-worlds-phaser,https://rvb-img.reverb.com/image/upload/s--U1_2-mZi--/t_card-square/v1646758995/mynx5vdwzxvldkxwtf2x.jpg
